datetime,Volume Intensity
2023-08-27 00:00:00+00:00,0.1722
2023-08-28 00:00:00+00:00,0.049
2023-08-29 00:00:00+00:00,0.0632
2023-08-30 00:00:00+00:00,0.0212
2023-08-31 00:00:00+00:00,0.0181
2023-09-01 00:00:00+00:00,0.0336
2023-09-02 00:00:00+00:00,0.054
2023-09-03 00:00:00+00:00,0.08
2023-09-04 00:00:00+00:00,0.0442
2023-09-05 00:00:00+00:00,0.0303
2023-09-06 00:00:00+00:00,0.0222
2023-09-07 00:00:00+00:00,0.0395
2023-09-08 00:00:00+00:00,0.0531
2023-09-09 00:00:00+00:00,0.0792
2023-09-10 00:00:00+00:00,0.1078
2023-09-11 00:00:00+00:00,0.0517
2023-09-12 00:00:00+00:00,0.0415
2023-09-13 00:00:00+00:00,0.0618
2023-09-14 00:00:00+00:00,0.0284
2023-09-15 00:00:00+00:00,0.0187
2023-09-16 00:00:00+00:00,0.0187
2023-09-17 00:00:00+00:00,0.0893
2023-09-18 00:00:00+00:00,0.0347
2023-09-19 00:00:00+00:00,0.0639
2023-09-20 00:00:00+00:00,0.042
2023-09-21 00:00:00+00:00,0.0345
2023-09-22 00:00:00+00:00,0.0561
2023-09-23 00:00:00+00:00,0.1138
2023-09-24 00:00:00+00:00,0.084
2023-09-25 00:00:00+00:00,0.0588
2023-09-26 00:00:00+00:00,0.0532
2023-09-27 00:00:00+00:00,0.0272
2023-09-28 00:00:00+00:00,0.0626
2023-09-29 00:00:00+00:00,0.0386
2023-09-30 00:00:00+00:00,0.0502
2023-10-01 00:00:00+00:00,0.0885
2023-10-02 00:00:00+00:00,0.0201
2023-10-03 00:00:00+00:00,0.0368
2023-10-04 00:00:00+00:00,0.0337
2023-10-05 00:00:00+00:00,0.043
2023-10-06 00:00:00+00:00,0.0439
2023-10-07 00:00:00+00:00,0.0417
2023-10-08 00:00:00+00:00,0.1186
2023-10-09 00:00:00+00:00,0.071
2023-10-10 00:00:00+00:00,0.0561
2023-10-11 00:00:00+00:00,0.0222
2023-10-12 00:00:00+00:00,0.0354
2023-10-13 00:00:00+00:00,0.0449
2023-10-14 00:00:00+00:00,0.0574
2023-10-15 00:00:00+00:00,0.1068
2023-10-16 00:00:00+00:00,0.0542
2023-10-17 00:00:00+00:00,0.0363
2023-10-18 00:00:00+00:00,0.0553
2023-10-19 00:00:00+00:00,0.0408
2023-10-20 00:00:00+00:00,0.0158
2023-10-21 00:00:00+00:00,0.0453
2023-10-22 00:00:00+00:00,0.0941
2023-10-23 00:00:00+00:00,0.0259
2023-10-24 00:00:00+00:00,0.0231
2023-10-25 00:00:00+00:00,0.0697
2023-10-26 00:00:00+00:00,0.034
2023-10-27 00:00:00+00:00,0.0076
2023-10-28 00:00:00+00:00,0.0342
2023-10-29 00:00:00+00:00,0.0986
2023-10-30 00:00:00+00:00,0.0792
2023-10-31 00:00:00+00:00,0.0608
2023-11-01 00:00:00+00:00,0.0359
2023-11-02 00:00:00+00:00,0.0078
2023-11-03 00:00:00+00:00,0.0262
2023-11-04 00:00:00+00:00,0.0495
2023-11-05 00:00:00+00:00,0.0776
2023-11-06 00:00:00+00:00,0.0686
2023-11-07 00:00:00+00:00,0.0752
2023-11-08 00:00:00+00:00,0.038
2023-11-09 00:00:00+00:00,0.0024
2023-11-10 00:00:00+00:00,0.0214
2023-11-11 00:00:00+00:00,0.0087
2023-11-12 00:00:00+00:00,0.0817
2023-11-13 00:00:00+00:00,0.0742
2023-11-14 00:00:00+00:00,0.0274
2023-11-15 00:00:00+00:00,0.0676
2023-11-16 00:00:00+00:00,0.0015
2023-11-17 00:00:00+00:00,0.01
2023-11-18 00:00:00+00:00,0.0198
2023-11-19 00:00:00+00:00,0.0753
2023-11-20 00:00:00+00:00,0.0776
2023-11-21 00:00:00+00:00,0.0236
2023-11-22 00:00:00+00:00,0.0386
2023-11-23 00:00:00+00:00,0.0656
2023-11-24 00:00:00+00:00,0.0354
2023-11-25 00:00:00+00:00,0.0478
2023-11-26 00:00:00+00:00,0.0506
2023-11-27 00:00:00+00:00,0.0444
2023-11-28 00:00:00+00:00,0.0456
2023-11-29 00:00:00+00:00,0.0337
2023-11-30 00:00:00+00:00,0.0324
2023-12-01 00:00:00+00:00,0.0298
2023-12-02 00:00:00+00:00,0.0116
2023-12-03 00:00:00+00:00,0.1069
2023-12-04 00:00:00+00:00,0.0286
2023-12-05 00:00:00+00:00,0.0627
2023-12-06 00:00:00+00:00,0.0548
2023-12-07 00:00:00+00:00,0.0625
2023-12-08 00:00:00+00:00,0.0664
2023-12-09 00:00:00+00:00,0.0839
2023-12-10 00:00:00+00:00,0.1042
2023-12-11 00:00:00+00:00,0.0808
2023-12-12 00:00:00+00:00,0.0364
2023-12-13 00:00:00+00:00,0.0599
2023-12-14 00:00:00+00:00,0.0187
2023-12-15 00:00:00+00:00,0.016
2023-12-16 00:00:00+00:00,0.0057
2023-12-17 00:00:00+00:00,0.0996
2023-12-18 00:00:00+00:00,0.0496
2023-12-19 00:00:00+00:00,0.0519
2023-12-20 00:00:00+00:00,0.0347
2023-12-21 00:00:00+00:00,0.0419
2023-12-22 00:00:00+00:00,0.0473
2023-12-23 00:00:00+00:00,0.0568
2023-12-24 00:00:00+00:00,0.194
2023-12-25 00:00:00+00:00,0.0827
2023-12-26 00:00:00+00:00,0.0688
2023-12-27 00:00:00+00:00,0.051
2023-12-28 00:00:00+00:00,0.0526
2023-12-29 00:00:00+00:00,0.0375
2023-12-30 00:00:00+00:00,0.0448
2023-12-31 00:00:00+00:00,0.1095
